kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,tahun
3207,KABUPATEN CIAMIS,LAKI-LAKI,627236,2019
3207,KABUPATEN CIAMIS,PEREMPUAN,626247,2019
3208,KABUPATEN KUNINGAN,LAKI-LAKI,594356,2019
3208,KABUPATEN KUNINGAN,PEREMPUAN,576586,2019
3209,KABUPATEN CIREBON,LAKI-LAKI,1108513,2019
3209,KABUPATEN CIREBON,PEREMPUAN,1081272,2019
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,659543,2019
3210,KABUPATEN MAJALENGKA,PEREMPUAN,648452,2019
3211,KABUPATEN SUMEDANG,LAKI-LAKI,582164,2019
3211,KABUPATEN SUMEDANG,PEREMPUAN,572294,2019
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,936516,2019
3212,KABUPATEN INDRAMAYU,PEREMPUAN,924753,2019
3213,KABUPATEN SUBANG,LAKI-LAKI,790325,2019
3213,KABUPATEN SUBANG,PEREMPUAN,783381,2019
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,479466,2019
3214,KABUPATEN PURWAKARTA,PEREMPUAN,470600,2019
3215,KABUPATEN KARAWANG,LAKI-LAKI,1174795,2019
3215,KABUPATEN KARAWANG,PEREMPUAN,1148943,2019
3216,KABUPATEN BEKASI,LAKI-LAKI,1352972,2019
3216,KABUPATEN BEKASI,PEREMPUAN,1321889,2019
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,851045,2019
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,816679,2019
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,212194,2019
3218,KABUPATEN PANGANDARAN,PEREMPUAN,212592,2019
3271,KOTA BOGOR,LAKI-LAKI,531731,2019
3271,KOTA BOGOR,PEREMPUAN,516674,2019
3272,KOTA SUKABUMI,LAKI-LAKI,175391,2019
3272,KOTA SUKABUMI,PEREMPUAN,173554,2019
3273,KOTA BANDUNG,LAKI-LAKI,1246951,2019
3273,KOTA BANDUNG,PEREMPUAN,1233513,2019
3274,KOTA CIREBON,LAKI-LAKI,170584,2019
3274,KOTA CIREBON,PEREMPUAN,169786,2019
3275,KOTA BEKASI,LAKI-LAKI,1235490,2019
3275,KOTA BEKASI,PEREMPUAN,1213340,2019
