kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,tahun
3278,KOTA TASIKMALAYA,LAKI-LAKI,0,2021
3278,KOTA TASIKMALAYA,PEREMPUAN,0,2021
3279,KOTA BANJAR,LAKI-LAKI,0,2021
3279,KOTA BANJAR,PEREMPUAN,1,2021
3201,KABUPATEN BOGOR,LAKI-LAKI,6,2022
3201,KABUPATEN BOGOR,PEREMPUAN,28,2022
3202,KABUPATEN SUKABUMI,LAKI-LAKI,20,2022
3202,KABUPATEN SUKABUMI,PEREMPUAN,133,2022
3203,KABUPATEN CIANJUR,PEREMPUAN,57,2022
3203,KABUPATEN CIANJUR,LAKI-LAKI,7,2022
3204,KABUPATEN BANDUNG,PEREMPUAN,133,2022
3204,KABUPATEN BANDUNG,LAKI-LAKI,44,2022
3205,KABUPATEN GARUT,LAKI-LAKI,1,2022
3205,KABUPATEN GARUT,PEREMPUAN,1,2022
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,65,2022
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,24,2022
3207,KABUPATEN CIAMIS,LAKI-LAKI,3,2022
3207,KABUPATEN CIAMIS,PEREMPUAN,7,2022
3208,KABUPATEN KUNINGAN,LAKI-LAKI,4,2022
3208,KABUPATEN KUNINGAN,PEREMPUAN,33,2022
3209,KABUPATEN CIREBON,LAKI-LAKI,6,2022
3209,KABUPATEN CIREBON,PEREMPUAN,72,2022
3210,KABUPATEN MAJALENGKA,PEREMPUAN,4,2022
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,2022
3211,KABUPATEN SUMEDANG,PEREMPUAN,5,2022
3211,KABUPATEN SUMEDANG,LAKI-LAKI,1,2022
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,6,2022
3212,KABUPATEN INDRAMAYU,PEREMPUAN,29,2022
3213,KABUPATEN SUBANG,PEREMPUAN,9,2022
3213,KABUPATEN SUBANG,LAKI-LAKI,2,2022
3214,KABUPATEN PURWAKARTA,PEREMPUAN,44,2022
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,8,2022
3215,KABUPATEN KARAWANG,PEREMPUAN,102,2022
3215,KABUPATEN KARAWANG,LAKI-LAKI,8,2022
3216,KABUPATEN BEKASI,LAKI-LAKI,25,2022
3216,KABUPATEN BEKASI,PEREMPUAN,149,2022
3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,8,2022
3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,41,2022
3218,KABUPATEN PANGANDARAN,PEREMPUAN,17,2022
3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,2022
3271,KOTA BOGOR,PEREMPUAN,97,2022
3271,KOTA BOGOR,LAKI-LAKI,12,2022
3272,KOTA SUKABUMI,LAKI-LAKI,12,2022
3272,KOTA SUKABUMI,PEREMPUAN,30,2022
3273,KOTA BANDUNG,PEREMPUAN,342,2022
3273,KOTA BANDUNG,LAKI-LAKI,50,2022
3274,KOTA CIREBON,LAKI-LAKI,0,2022
3274,KOTA CIREBON,PEREMPUAN,2,2022
3275,KOTA BEKASI,LAKI-LAKI,1,2022
3275,KOTA BEKASI,PEREMPUAN,4,2022
3276,KOTA DEPOK,LAKI-LAKI,42,2022
3276,KOTA DEPOK,PEREMPUAN,204,2022
3277,KOTA CIMAHI,PEREMPUAN,34,2022
3277,KOTA CIMAHI,LAKI-LAKI,3,2022
3278,KOTA TASIKMALAYA,PEREMPUAN,5,2022
3278,KOTA TASIKMALAYA,LAKI-LAKI,3,2022
3279,KOTA BANJAR,LAKI-LAKI,0,2022
3279,KOTA BANJAR,PEREMPUAN,1,2022
