kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_usia,jumlah_korban,tahun
3209,KABUPATEN CIREBON,PEREMPUAN,TIDAK DIKETAHUI,1,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0-5,0,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,13-17,2,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,18-24,0,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,25-44,0,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,45-59,0,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,6-12,1,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,60+,0,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,0-5,1,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,13-17,7,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,18-24,0,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,25-44,1,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,45-59,0,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,6-12,0,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,60+,0,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,0-5,0,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,13-17,1,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,18-24,0,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,25-44,0,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,45-59,0,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,6-12,1,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,60+,0,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,0-5,0,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,13-17,4,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,18-24,0,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,25-44,3,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,45-59,4,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,6-12,1,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,60+,0,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0-5,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,13-17,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,18-24,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,25-44,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,45-59,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,6-12,1,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,60+,0,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,0-5,1,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,13-17,2,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,18-24,0,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,25-44,1,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,45-59,0,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,6-12,0,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,60+,0,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,TIDAK DIKETAHUI,0,2018
